instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no, total_seq_no,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
ins_1085945400,M1,j_37051,1,Failed,92260,92266,m_1831,1,2,,,,
ins_897313482,J10_8_9,j_316319,1,Failed,92588,92589,m_1831,1,2,,,,
ins_192375356,J5_1_2_4,j_1471840,1,Failed,96194,0,m_1831,1,2,,,,
ins_1338779442,M6_3_5,j_2710575,1,Failed,97367,0,m_1831,1,2,,,,
ins_930059063,J23_7_12,j_979489,1,Failed,101736,102080,m_1831,1,2,,,,
ins_1045353994,J15_1_2_3_4_5_6_7_14,j_329955,1,Failed,101914,102079,m_1831,1,2,,,,
ins_742076787,J3_1_2,j_170415,1,Failed,102596,102758,m_1831,1,2,,,,
ins_892363414,J8_3_4_5_6_7_11_12_13_16,j_3708994,1,Failed,106232,0,m_1831,1,2,,,,
ins_603556200,M1,j_172082,1,Failed,106780,0,m_1831,1,2,,,,
ins_1113214893,R12_11,j_1622485,1,Failed,111125,111167,m_1831,1,2,,,,
ins_485865183,R4_3,j_315956,1,Failed,112621,113438,m_1831,1,2,,,,
ins_601230221,J4_1_2_3,j_2325881,1,Failed,112755,113240,m_1831,1,3,,,,
ins_745269030,M1,j_531331,1,Failed,116136,116140,m_1831,1,2,,,,
ins_1101073771,task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,j_1592733,3,Failed,116951,0,m_1831,1,2,,,,
ins_1176925606,task_NDg2ODM2NDIyMDczNDQ4NzMzOA==,j_698512,11,Failed,118264,0,m_1831,1,2,,,,
ins_569482950,task_LTM1MDg2NzQ2MzE3ODcwMzc0NTQ=,j_977760,8,Failed,123336,0,m_1831,1,2,,,,
ins_474950815,task_LTM1MDg2NzQ2MzE3ODcwMzc0NTQ=,j_977760,8,Failed,123336,0,m_1831,1,2,,,,
