machine_id,time_stamp,cpu_util_precent,mem_util_percent,net_in,net_out,disk_io_percent
m_1,130,11,85,32.47,23.09,1
m_1,190,9,84,32.47,23.09,1
m_1,260,10,84,32.47,23.09,2
m_1,330,10,85,32.47,23.09,2
m_1,410,25,89,32.47,23.1,2
m_1,420,27,90,32.47,23.1,6
m_1,440,31,90,32.47,23.1,6
m_1,540,24,86,32.47,23.1,5
m_1,550,23,87,32.47,23.1,5
m_1,610,26,86,32.47,23.1,3
m_1,870,23,84,32.47,23.1,3
m_1,890,23,83,32.47,23.1,3
m_1,1100,27,87,32.48,23.1,5
m_1,1130,31,88,32.48,23.1,5
m_1,1290,26,88,32.48,23.11,4
m_1,1380,25,87,32.48,23.11,2
m_1,1390,29,87,32.48,23.11,2
m_1,1410,25,86,32.48,23.11,2
m_1,1610,32,88,32.49,23.11,2
m_1,1630,32,89,32.49,23.11,1
m_1,1650,36,89,32.49,23.11,1
m_1,1850,28,86,32.49,23.11,2
m_1,1870,29,87,32.49,23.11,2
m_1,1880,29,88,32.49,23.11,2
m_1,2000,24,86,32.49,23.11,2
m_1,2100,20,83,32.49,23.11,2
m_1,2180,15,81,32.49,23.11,2
m_1,2450,22,84,32.5,23.12,2
m_1,2610,22,88,32.5,23.12,3
m_1,2720,22,84,32.51,23.12,2
m_1,2730,21,84,32.51,23.12,2
m_1,2750,20,84,32.51,23.12,2
m_1,3190,31,84,32.51,23.12,2
m_1,3280,26,82,32.51,23.12,1
m_1,3400,28,84,32.51,23.12,2
m_1,3450,26,85,32.51,23.12,2
m_1,3460,29,85,32.51,23.12,2
m_1,3700,30,85,32.52,23.13,3
m_1,3720,29,85,32.52,23.13,3
m_1,3820,32,88,32.52,23.13,2
m_1,3880,33,89,32.52,23.13,2
m_1,3900,32,90,32.52,23.13,2
m_1,4060,23,86,32.52,23.13,4
m_1,4070,23,87,32.52,23.13,4
m_1,4260,24,84,32.52,23.13,2
m_1,4290,17,84,32.52,23.13,2
m_1,4450,16,85,32.52,23.13,1
m_1,4590,30,87,32.52,23.13,3
m_1,4850,37,84,32.53,23.14,3
m_1,4910,31,81,32.53,23.14,5
m_1,5030,29,83,32.53,23.14,3
m_1,5110,36,79,32.53,23.14,4
m_1,5160,37,80,32.53,23.14,3
m_1,5170,34,79,32.53,23.14,3
m_1,5200,34,79,32.53,23.14,3
m_1,5300,33,82,32.53,23.14,4
m_1,5320,28,78,32.53,23.14,4
m_1,5390,31,80,32.54,23.14,4
m_1,5600,42,83,32.54,23.14,1
m_1,5700,34,82,32.54,23.15,2
