machine_id,time_stamp,cpu_util_precent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
m_1831,0,22.0,92,,,38.19,31.53,4
m_1831,10,24.0,91,,,38.19,31.53,4
m_1831,20,22.0,91,,,38.19,31.53,4
m_1831,30,25.0,91,,,38.19,31.53,4
m_1831,40,32.0,91,,,38.19,31.53,4
m_1831,50,16.0,91,,,38.19,31.53,4
m_1831,60,38.0,91,,,38.19,31.53,5
m_1831,70,19.0,91,,,38.19,31.53,5
m_1831,80,15.0,90,,,38.19,31.53,5
m_1831,90,23.0,91,,,38.19,31.53,5
m_1831,100,23.0,90,,,38.19,31.53,5
m_1831,110,23.0,90,,,38.19,31.53,5
m_1831,120,27.0,90,,,38.19,31.53,5
m_1831,130,36.0,90,,,38.19,31.53,5
m_1831,140,14.0,90,,,38.19,31.53,5
m_1831,150,16.0,90,,,38.19,31.53,5
m_1831,160,26.0,90,,,38.19,31.53,5
m_1831,170,20.0,90,,,38.19,31.53,5
m_1831,180,22.0,90,,,38.19,31.53,4
m_1831,190,32.0,90,,,38.19,31.53,4
m_1831,200,13.0,91,,,38.19,31.53,4
m_1831,210,20.0,91,,,38.19,31.53,4
m_1831,220,27.0,91,,,38.19,31.53,4
m_1831,230,19.0,90,,,38.19,31.53,4
m_1831,240,23.0,90,,,38.19,31.53,4
m_1831,250,27.0,91,,,38.19,31.53,4
m_1831,260,14.0,91,,,38.19,31.53,4
m_1831,270,21.0,91,,,38.19,31.53,4
m_1831,280,24.0,90,,,38.19,31.53,4
m_1831,290,19.0,90,,,38.19,31.53,4
m_1831,300,22.0,90,,,38.19,31.53,4
m_1831,310,33.0,90,,,38.19,31.53,4
m_1831,320,17.0,90,,,38.19,31.53,4
m_1831,330,21.0,91,,,38.19,31.53,4
m_1831,340,33.0,91,,,38.19,31.53,4
m_1831,350,15.0,91,,,38.19,31.53,4
m_1831,360,34.0,92,,,38.19,31.53,4
m_1831,370,37.0,92,,,38.19,31.53,4
m_1831,380,31.0,92,,,38.19,31.53,4
m_1831,390,25.0,93,,,38.19,31.53,4
m_1831,400,27.0,93,,,38.19,31.53,4
m_1831,410,30.0,94,,,38.19,31.53,4
m_1831,420,30.0,95,,,38.2,31.53,5
m_1831,430,35.0,95,,,38.2,31.53,5
m_1831,440,30.0,95,,,38.2,31.53,5
m_1831,450,33.0,96,,,38.2,31.53,5
m_1831,460,33.0,97,,,38.2,31.53,5
m_1831,470,37.0,98,,,38.2,31.53,5
m_1831,480,34.0,97,,,38.2,31.53,5
m_1831,490,39.0,97,,,38.2,31.53,5
m_1831,500,35.0,96,,,38.2,31.53,5
m_1831,510,39.0,97,,,38.2,31.53,5
m_1831,520,28.0,97,,,38.2,31.53,5
m_1831,530,27.0,97,,,38.2,31.53,5
m_1831,540,35.0,96,,,38.2,31.53,6
m_1831,550,29.0,95,,,38.2,31.53,6
m_1831,560,25.0,95,,,38.2,31.53,6
m_1831,570,30.0,96,,,38.2,31.53,6
m_1831,580,40.0,96,,,38.2,31.53,6
m_1831,590,30.0,96,,,38.2,31.53,6
m_1831,600,33.0,97,,,38.2,31.53,10
m_1831,610,40.0,97,,,38.2,31.53,10
m_1831,620,36.0,96,,,38.2,31.53,10
m_1831,630,34.0,96,,,38.2,31.53,10
m_1831,640,33.0,95,,,38.2,31.53,10
m_1831,650,49.0,95,,,38.2,31.53,10
m_1831,660,34.0,95,,,38.2,31.53,8
m_1831,670,33.0,94,,,38.2,31.53,8
m_1831,680,32.0,94,,,38.2,31.53,8
m_1831,690,29.0,94,,,38.2,31.53,8
