,machine_id,time_stamp,cpu_util_precent,mem_util_percent,net_in,net_out,disk_io_percent
0,m_1,10,13,84,32.46,23.09,1
1,m_1,20,10,84,32.46,23.09,1
2,m_1,30,11,84,32.46,23.09,1
3,m_1,40,12,84,32.46,23.09,1
4,m_1,50,12,84,32.46,23.09,1
5,m_1,60,9,84,32.46,23.09,2
6,m_1,70,13,84,32.46,23.09,2
7,m_1,80,10,84,32.46,23.09,2
8,m_1,90,9,85,32.46,23.09,2
9,m_1,100,9,85,32.46,23.09,2
10,m_1,110,9,85,32.46,23.09,2
11,m_1,120,9,85,32.47,23.09,1
12,m_1,130,11,85,32.47,23.09,1
13,m_1,140,10,84,32.47,23.09,1
14,m_1,150,8,84,32.47,23.09,1
15,m_1,160,7,84,32.47,23.09,1
16,m_1,170,7,84,32.47,23.09,1
17,m_1,180,7,84,32.47,23.09,1
18,m_1,190,9,84,32.47,23.09,1
19,m_1,200,9,84,32.47,23.09,1
20,m_1,210,8,84,32.47,23.09,1
21,m_1,220,7,84,32.47,23.09,1
22,m_1,230,9,84,32.47,23.09,1
23,m_1,240,9,84,32.47,23.09,2
24,m_1,250,12,84,32.47,23.09,2
25,m_1,260,10,84,32.47,23.09,2
26,m_1,270,11,84,32.47,23.09,2
27,m_1,280,11,85,32.47,23.09,2
28,m_1,290,11,85,32.47,23.09,2
29,m_1,300,10,85,32.47,23.09,2
30,m_1,310,12,85,32.47,23.09,2
31,m_1,320,10,85,32.47,23.09,2
32,m_1,330,10,85,32.47,23.09,2
33,m_1,340,10,85,32.47,23.1,2
34,m_1,350,14,86,32.47,23.1,2
35,m_1,360,22,87,32.47,23.1,2
36,m_1,370,26,88,32.47,23.1,2
37,m_1,380,28,88,32.47,23.1,2
38,m_1,390,24,88,32.47,23.1,2
39,m_1,400,23,88,32.47,23.1,2
40,m_1,410,25,89,32.47,23.1,2
41,m_1,420,27,90,32.47,23.1,6
42,m_1,430,29,89,32.47,23.1,6
43,m_1,440,31,90,32.47,23.1,6
44,m_1,450,31,89,32.47,23.1,6
45,m_1,460,32,89,32.47,23.1,6
46,m_1,470,32,90,32.47,23.1,6
47,m_1,480,34,90,32.47,23.1,3
48,m_1,490,31,89,32.47,23.1,3
49,m_1,500,31,90,32.47,23.1,3
50,m_1,510,32,89,32.47,23.1,3
51,m_1,520,28,87,32.47,23.1,3
52,m_1,530,24,86,32.47,23.1,3
53,m_1,540,24,86,32.47,23.1,5
54,m_1,550,23,87,32.47,23.1,5
55,m_1,560,26,87,32.47,23.1,5
56,m_1,570,22,86,32.47,23.1,5
57,m_1,580,24,86,32.47,23.1,5
58,m_1,590,26,86,32.47,23.1,5
59,m_1,600,30,87,32.47,23.1,3
60,m_1,610,26,86,32.47,23.1,3
61,m_1,620,22,85,32.47,23.1,3
62,m_1,630,22,86,32.47,23.1,3
63,m_1,640,24,86,32.47,23.1,3
64,m_1,650,30,86,32.47,23.1,3
65,m_1,660,26,85,32.47,23.1,4
66,m_1,670,27,85,32.47,23.1,4
67,m_1,680,26,84,32.47,23.1,4
68,m_1,690,27,84,32.47,23.1,4
69,m_1,700,27,84,32.47,23.1,4
70,m_1,710,24,84,32.47,23.1,4
71,m_1,720,21,83,32.47,23.1,3
72,m_1,730,24,84,32.47,23.1,3
73,m_1,740,24,83,32.47,23.1,3
74,m_1,750,24,84,32.47,23.1,3
75,m_1,760,24,84,32.47,23.1,3
76,m_1,770,24,83,32.47,23.1,3
77,m_1,780,24,84,32.47,23.1,3
78,m_1,790,24,83,32.47,23.1,3
79,m_1,800,24,84,32.47,23.1,3
80,m_1,810,24,84,32.47,23.1,3
81,m_1,820,25,84,32.47,23.1,3
82,m_1,830,27,84,32.47,23.1,3
83,m_1,840,26,84,32.47,23.1,3
84,m_1,850,27,84,32.47,23.1,3
85,m_1,860,26,84,32.47,23.1,3
86,m_1,870,23,84,32.47,23.1,3
87,m_1,880,23,83,32.47,23.1,3
88,m_1,890,23,83,32.47,23.1,3
89,m_1,900,22,84,32.47,23.1,1
90,m_1,910,31,84,32.48,23.1,1
91,m_1,940,28,85,32.48,23.1,1
92,m_1,950,29,85,32.48,23.1,1
93,m_1,960,28,84,32.48,23.1,3
94,m_1,970,28,84,32.48,23.1,3
95,m_1,980,31,85,32.48,23.1,3
96,m_1,990,29,84,32.48,23.1,3
97,m_1,1000,30,84,32.48,23.1,3
98,m_1,1010,33,85,32.48,23.1,3
99,m_1,1020,28,85,32.48,23.1,2
100,m_1,1030,25,85,32.48,23.1,2
101,m_1,1040,26,86,32.48,23.1,2
102,m_1,1050,25,86,32.48,23.1,2
103,m_1,1060,28,86,32.48,23.1,2
104,m_1,1070,28,87,32.48,23.1,2
105,m_1,1080,28,87,32.48,23.1,5
106,m_1,1090,27,87,32.48,23.1,5
107,m_1,1100,27,87,32.48,23.1,5
108,m_1,1110,27,86,32.48,23.1,5
109,m_1,1120,29,87,32.48,23.1,5
110,m_1,1130,31,88,32.48,23.1,5
111,m_1,1140,32,87,32.48,23.1,5
112,m_1,1150,34,87,32.48,23.1,5
113,m_1,1160,37,86,32.48,23.1,5
114,m_1,1170,31,85,32.48,23.1,5
115,m_1,1180,29,86,32.48,23.1,5
116,m_1,1190,30,86,32.48,23.1,5
117,m_1,1200,32,86,32.48,23.1,6
118,m_1,1210,34,86,32.48,23.1,6
119,m_1,1220,30,87,32.48,23.1,6
120,m_1,1230,29,87,32.48,23.1,6
121,m_1,1240,31,87,32.48,23.11,6
122,m_1,1250,35,88,32.48,23.11,6
123,m_1,1260,34,88,32.48,23.11,4
124,m_1,1270,35,88,32.48,23.11,4
125,m_1,1280,29,88,32.48,23.11,4
126,m_1,1290,26,88,32.48,23.11,4
127,m_1,1300,26,88,32.48,23.11,4
128,m_1,1310,27,87,32.48,23.11,4
129,m_1,1320,28,87,32.48,23.11,3
130,m_1,1330,29,87,32.48,23.11,3
131,m_1,1340,28,88,32.48,23.11,3
132,m_1,1350,25,86,32.48,23.11,3
133,m_1,1360,23,86,32.48,23.11,3
134,m_1,1370,25,86,32.48,23.11,3
135,m_1,1380,25,87,32.48,23.11,2
136,m_1,1390,29,87,32.48,23.11,2
137,m_1,1400,27,87,32.48,23.11,2
138,m_1,1410,25,86,32.48,23.11,2
139,m_1,1420,23,87,32.48,23.11,2
140,m_1,1430,22,86,32.48,23.11,2
141,m_1,1440,20,87,32.48,23.11,2
142,m_1,1450,21,87,32.48,23.11,2
143,m_1,1460,20,86,32.48,23.11,2
144,m_1,1470,24,87,32.49,23.11,2
145,m_1,1480,25,87,32.49,23.11,2
146,m_1,1490,23,87,32.49,23.11,2
147,m_1,1500,25,88,32.49,23.11,1
148,m_1,1510,25,88,32.49,23.11,1
149,m_1,1520,27,87,32.49,23.11,1
150,m_1,1530,27,88,32.49,23.11,1
151,m_1,1540,29,88,32.49,23.11,1
152,m_1,1550,24,89,32.49,23.11,1
153,m_1,1560,33,89,32.49,23.11,2
154,m_1,1570,29,89,32.49,23.11,2
155,m_1,1580,30,90,32.49,23.11,2
156,m_1,1590,29,89,32.49,23.11,2
157,m_1,1600,39,89,32.49,23.11,2
158,m_1,1610,32,88,32.49,23.11,2
159,m_1,1620,28,89,32.49,23.11,1
160,m_1,1630,32,89,32.49,23.11,1
161,m_1,1640,34,89,32.49,23.11,1
162,m_1,1650,36,89,32.49,23.11,1
163,m_1,1660,32,89,32.49,23.11,1
164,m_1,1670,32,88,32.49,23.11,1
165,m_1,1680,26,86,32.49,23.11,5
166,m_1,1690,25,86,32.49,23.11,5
167,m_1,1700,25,86,32.49,23.11,5
168,m_1,1710,25,86,32.49,23.11,5
169,m_1,1720,26,87,32.49,23.11,5
170,m_1,1730,27,86,32.49,23.11,5
171,m_1,1740,23,86,32.49,23.11,4
172,m_1,1750,27,87,32.49,23.11,4
173,m_1,1760,27,87,32.49,23.11,4
174,m_1,1770,27,87,32.49,23.11,4
175,m_1,1780,29,87,32.49,23.11,4
176,m_1,1790,30,88,32.49,23.11,4
177,m_1,1800,30,87,32.49,23.11,2
178,m_1,1810,31,88,32.49,23.11,2
179,m_1,1820,26,87,32.49,23.11,2
180,m_1,1830,27,86,32.49,23.11,2
181,m_1,1840,27,86,32.49,23.11,2
182,m_1,1850,28,86,32.49,23.11,2
183,m_1,1860,28,87,32.49,23.11,2
184,m_1,1870,29,87,32.49,23.11,2
185,m_1,1880,29,88,32.49,23.11,2
186,m_1,1890,30,88,32.49,23.11,2
187,m_1,1900,32,88,32.49,23.11,2
188,m_1,1910,29,86,32.49,23.11,2
189,m_1,1920,24,86,32.49,23.11,5
190,m_1,1930,25,83,32.49,23.11,5
191,m_1,1940,23,84,32.49,23.11,5
192,m_1,1950,22,84,32.49,23.11,5
193,m_1,1960,24,84,32.49,23.11,5
194,m_1,1970,24,84,32.49,23.11,5
195,m_1,1980,24,84,32.49,23.11,2
196,m_1,1990,26,87,32.49,23.11,2
197,m_1,2000,24,86,32.49,23.11,2
198,m_1,2010,23,84,32.49,23.11,2
199,m_1,2020,21,84,32.49,23.11,2
200,m_1,2030,22,84,32.49,23.11,2
201,m_1,2040,21,83,32.49,23.11,2
202,m_1,2050,21,82,32.49,23.11,2
203,m_1,2060,19,83,32.49,23.11,2
204,m_1,2070,21,83,32.49,23.11,2
205,m_1,2080,19,83,32.49,23.11,2
206,m_1,2090,22,83,32.49,23.11,2
207,m_1,2100,20,83,32.49,23.11,2
208,m_1,2110,21,83,32.49,23.11,2
209,m_1,2120,18,83,32.49,23.11,2
210,m_1,2130,16,83,32.49,23.11,2
211,m_1,2140,18,82,32.49,23.11,2
212,m_1,2150,16,81,32.49,23.11,2
213,m_1,2160,14,81,32.49,23.11,2
214,m_1,2170,15,81,32.49,23.11,2
215,m_1,2180,15,81,32.49,23.11,2
216,m_1,2190,14,81,32.49,23.11,2
217,m_1,2200,14,80,32.49,23.11,2
218,m_1,2210,14,80,32.49,23.11,2
219,m_1,2220,14,80,32.49,23.11,1
220,m_1,2230,15,80,32.49,23.11,1
221,m_1,2240,14,80,32.49,23.11,1
222,m_1,2250,15,81,32.49,23.11,1
223,m_1,2260,27,81,32.49,23.11,1
