0,1,2,3,4
18.0,82.0,33.67,23.87,46.0
20.0,83.0,33.67,23.87,46.0
17.0,81.0,33.67,23.87,46.0
15.0,82.0,33.67,23.87,2.0
21.0,82.0,33.67,23.87,2.0
20.0,82.0,33.67,23.87,2.0
17.0,82.0,33.67,23.87,2.0
17.0,82.0,33.67,23.87,2.0
18.0,82.0,33.67,23.87,2.0
16.0,81.0,33.67,23.87,2.0
18.0,82.0,33.67,23.87,2.0
19.0,82.0,33.67,23.87,2.0
18.0,80.0,33.67,23.87,2.0
20.0,81.0,33.67,23.87,2.0
15.0,80.0,33.67,23.87,2.0
14.0,79.0,33.67,23.88,1.0
14.0,79.0,33.67,23.88,1.0
12.0,80.0,33.67,23.88,1.0
11.0,80.0,33.67,23.88,1.0
16.0,80.0,33.67,23.88,1.0
19.0,80.0,33.67,23.88,1.0
19.0,81.0,33.67,23.88,1.0
21.0,81.0,33.67,23.88,1.0
17.0,81.0,33.67,23.88,1.0
15.0,80.0,33.67,23.88,1.0
15.0,80.0,33.67,23.88,1.0
15.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,2.0
15.0,79.0,33.67,23.88,2.0
15.0,80.0,33.67,23.88,2.0
15.0,80.0,33.67,23.88,2.0
14.0,80.0,33.67,23.88,2.0
13.0,79.0,33.67,23.88,2.0
13.0,79.0,33.67,23.88,1.0
14.0,79.0,33.67,23.88,1.0
14.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
11.0,79.0,33.67,23.88,1.0
13.0,79.0,33.67,23.88,1.0
11.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
11.0,79.0,33.67,23.88,1.0
11.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
14.0,79.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
15.0,80.0,33.67,23.88,1.0
16.0,79.0,33.67,23.88,1.0
14.0,79.0,33.67,23.88,1.0
14.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
13.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
14.0,79.0,33.67,23.88,1.0
15.0,79.0,33.67,23.88,1.0
15.0,79.0,33.67,23.88,1.0
14.0,79.0,33.67,23.88,1.0
13.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
12.0,79.0,33.67,23.88,1.0
12.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
14.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
12.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
16.0,80.0,33.67,23.88,1.0
13.0,80.0,33.67,23.88,1.0
14.0,81.0,33.67,23.88,1.0
16.0,81.0,33.67,23.88,1.0
15.0,80.0,33.67,23.88,1.0
14.0,80.0,33.67,23.88,1.0
17.0,80.0,33.67,23.88,1.0
17.0,80.0,33.67,23.88,1.0
19.0,80.0,33.67,23.88,1.0
18.0,80.0,33.67,23.88,1.0
18.0,80.0,33.67,23.88,1.0
16.0,80.0,33.67,23.88,2.0
20.0,80.0,33.67,23.88,2.0
17.0,80.0,33.67,23.88,2.0
18.0,81.0,33.68,23.88,2.0
19.0,81.0,33.68,23.88,2.0
19.0,81.0,33.68,23.88,2.0
17.0,81.0,33.68,23.88,1.0
17.0,81.0,33.68,23.88,1.0
15.0,81.0,33.68,23.88,1.0
15.0,81.0,33.68,23.88,1.0
14.0,81.0,33.68,23.88,1.0
15.0,82.0,33.68,23.88,1.0
16.0,82.0,33.68,23.88,1.0
18.0,82.0,33.68,23.88,1.0
20.0,83.0,33.68,23.88,1.0
18.0,82.0,33.68,23.88,1.0
16.0,81.0,33.68,23.88,1.0
15.0,81.0,33.68,23.88,1.0
14.0,81.0,33.68,23.88,1.0
17.0,81.0,33.68,23.88,1.0
15.0,81.0,33.68,23.88,1.0
13.0,81.0,33.68,23.88,1.0
12.0,81.0,33.68,23.88,1.0
11.0,80.0,33.68,23.88,1.0
11.0,80.0,33.68,23.88,1.0
14.0,80.0,33.68,23.88,1.0
13.0,80.0,33.68,23.88,1.0
14.0,80.0,33.68,23.88,1.0
15.0,80.0,33.68,23.88,1.0
17.0,81.0,33.68,23.88,1.0
24.0,82.0,33.68,23.88,1.0
24.0,82.0,33.68,23.88,1.0
25.0,83.0,33.68,23.88,1.0
26.0,84.0,33.68,23.88,1.0
24.0,84.0,33.68,23.88,1.0
26.0,85.0,33.68,23.88,1.0
28.0,85.0,33.68,23.88,2.0
33.0,86.0,33.68,23.88,2.0
31.0,86.0,33.68,23.88,2.0
34.0,86.0,33.68,23.88,2.0
40.0,87.0,33.68,23.88,2.0
40.0,87.0,33.68,23.88,2.0
39.0,88.0,33.68,23.88,3.0
48.0,88.0,33.68,23.88,3.0
51.0,89.0,33.68,23.88,3.0
49.0,88.0,33.68,23.88,3.0
43.0,87.0,33.68,23.88,3.0
45.0,87.0,33.68,23.88,3.0
43.0,87.0,33.68,23.88,7.0
40.0,87.0,33.68,23.88,7.0
44.0,87.0,33.68,23.88,7.0
